,Major,Degree_Type,Early_Career_Pay,Mid-Career_Pay
208,Biotechnology,Bachelors,53100,100700
209,Industrial & Labor Relations,Bachelors,69800,100600
210,Real Estate,Bachelors,59900,100600
211,Mechanical Engineering Technology (MET),Bachelors,64200,100400
212,Labor Relations,Bachelors,53000,100300
213,Electronics,Bachelors,57500,100200
214,Biochemistry (BCH),Bachelors,50400,99900
215,Politics,Bachelors,53000,99900
216,Accounting & Auditing,Bachelors,57800,99800
217,Chinese Language,Bachelors,54200,99600
218,Information Science (IS),Bachelors,66300,99500
219,East Asian Studies,Bachelors,49800,99400
220,Accounting & Finance,Bachelors,59200,99300
221,Network Security,Bachelors,62300,99300
222,Information Technology (IT),Bachelors,59100,99200
223,Aviation Management,Bachelors,50900,99100
224,Occupational Health and Safety,Bachelors,59900,99100
225,Agribusiness,Bachelors,50700,98900
226,Business & Marketing,Bachelors,51000,98900
227,Computer Engineering Technology (CET),Bachelors,63000,98900
228,Computer Security,Bachelors,68100,98700
229,Operations & Supply Chain Management,Bachelors,61300,98600
230,Entomology,Bachelors,45900,98500
231,Music Production & Engineering,Bachelors,43100,98400
232,Industrial Engineering Technology,Bachelors,67200,98400
233,Logistics & Supply Chain Management,Bachelors,59000,98300
234,Supply Chain Management,Bachelors,61700,98300
235,Accounts,Bachelors,59800,98300
236,Economics & Management,Bachelors,54400,98200
237,Environmental Policy Analysis & Planning,Bachelors,51000,98200
238,Physical Therapy,Bachelors,55500,98200
239,European History,Bachelors,52300,98000
240,Robotics & Automation,Bachelors,66100,98000
241,Geological Engineering,Bachelors,61700,97900
242,Manufacturing Technology,Bachelors,59900,97900
243,Chemistry,Bachelors,51600,97500
244,Business Logistics & Transportation,Bachelors,56400,97400
245,Food Science & Technology,Bachelors,53100,97300
246,City & Regional Planning,Bachelors,51800,97200
247,Civil Engineering Technology (CET),Bachelors,58300,97200
248,Electronics Engineering Technology (EET),Bachelors,64300,97100
249,English & Psychology,Bachelors,42600,97100
250,Finance & Banking,Bachelors,55300,97100
251,Mechanical Design,Bachelors,60900,97100
252,Applied Technology,Bachelors,55500,97000
253,Marketing & Management,Bachelors,50000,96900
254,Technical & Scientific Communication,Bachelors,50700,96800
255,Financial Planning,Bachelors,54000,96600
256,Organizational Behavior,Bachelors,57000,96600
257,Marketing,Bachelors,51700,96600
258,Dairy Science,Bachelors,51200,96200
259,Project Management,Bachelors,56800,96200
260,Government & International Politics (GVIP),Bachelors,51300,96100
261,Latin American Studies,Bachelors,46700,96100
262,Industrial Design (ID),Bachelors,55100,95900
263,Web Design & Development,Bachelors,53100,95900
264,Computing & Information Systems (CIS),Bachelors,58100,95800
265,Electromechanical Engineering,Bachelors,70500,95800
266,Industrial Technology (IT),Bachelors,62200,95800
267,Information Technology (IT) & Systems,Bachelors,61100,95800
268,Biopsychology,Bachelors,53300,95700
269,Government & Politics,Bachelors,52400,95700
270,Microbiology & Immunology,Bachelors,54900,95400
271,Chemistry & Environmental Science,Bachelors,48200,95400
272,Interactive Media Design,Bachelors,54000,95300
273,Risk Management,Bachelors,58500,95300
274,Cell Biology,Bachelors,50100,95200
275,Aeronautics,Bachelors,62800,95100
276,Welding Engineering Technology,Bachelors,74700,95000
277,Finance & Management Information Systems,Bachelors,63900,94800
278,Computer Science (CS) & Business,Bachelors,81100,94600
279,Environmental Science & Policy,Bachelors,49500,94500
280,Marketing & Communications,Bachelors,49600,94500
281,Safety Management,Bachelors,60100,94500
282,Business Technology Management,Bachelors,57400,94400
283,Computer Networking Systems,Bachelors,55600,94400
284,Biomedical Sciences,Bachelors,43600,94300
285,Philosophy,Bachelors,52600,94300
286,Sales & Marketing,Bachelors,52700,94300
287,Manufacturing Engineering Technology,Bachelors,66000,94300
288,Environmental Health & Safety,Bachelors,57600,94200
289,Organizational Psychology,Bachelors,51200,94100
290,Industrial Psychology,Bachelors,50000,94000
291,Political Science,Bachelors,50700,94000
292,Real Estate Development,Bachelors,57100,94000
293,Social Ecology,Bachelors,49000,93700
294,Risk Management & Insurance,Bachelors,59500,93600
295,Radiation Therapy,Bachelors,68400,93400
296,French Literature,Bachelors,46400,93300
297,Occupational Therapy (OT),Bachelors,54100,93300
298,Advertising,Bachelors,47200,93200
299,Accounting,Bachelors,54800,93100
300,Geology,Bachelors,50400,93000
301,Strategic Communication,Bachelors,47100,93000
302,Transportation & Logistics Management,Bachelors,57600,93000
303,Financial Accounting,Bachelors,56100,92900
304,Cell & Molecular Biology,Bachelors,51900,92800
305,Industrial Safety,Bachelors,55200,92800
306,Insurance,Bachelors,56000,92800
307,Manufacturing Management,Bachelors,64000,92800
308,Networks & Telecommunications,Bachelors,54300,92800
309,Labor Studies,Bachelors,46600,92600
310,Digital Media Design,Bachelors,46700,92600
311,Advertising & Marketing Communications,Bachelors,48300,92600
312,Cinema Studies,Bachelors,47900,92500
313,Electronic & Computer Technology,Bachelors,63800,92500
314,Marketing Communication,Bachelors,45700,92500
315,Construction Technology,Bachelors,59100,92400
316,Architecture,Bachelors,51000,92300
317,Applied Statistics,Bachelors,65900,92200
318,Biological Sciences,Bachelors,49300,92100
319,Food Science,Bachelors,52500,92100
320,Urban & Regional Planning,Bachelors,51800,92100
321,Marketing Management,Bachelors,51300,92000
322,Computer & Network Administration,Bachelors,56800,91900
323,Applied Computer Science,Bachelors,66100,91800
324,Sales,Bachelors,61500,91600
325,Environmental Design,Bachelors,47700,91400
326,Hotel Management,Bachelors,49100,91400
327,Advertising Design,Bachelors,52700,91300
328,Digital Arts,Bachelors,45600,91300
329,Financial Management,Bachelors,54300,91300
330,Electronic Systems Technology (EST),Bachelors,81000,91200
331,Italian Language,Bachelors,51400,91100
332,German Studies,Bachelors,50000,91000
333,Quality Management,Bachelors,57400,90800
334,Microbiology,Bachelors,48400,90300
335,Entrepreneurship,Bachelors,54800,90300
336,Interactive Media,Bachelors,52700,90200
337,Global Business Management,Bachelors,55900,90200
338,Network Systems Administration,Bachelors,57900,90200
339,Police Science,Bachelors,55400,90200
340,Hydrology,Bachelors,48700,90100
341,Business Data Analysis,Bachelors,64700,90000
342,Database Management,Bachelors,65900,90000
343,Spanish Literature,Bachelors,51100,90000
344,Business Technology,Bachelors,52800,89900
345,Business Management & Marketing,Bachelors,48900,89800
346,Technical Management,Bachelors,64400,89700
347,Human Biology,Bachelors,51100,89600
348,Meteorology,Bachelors,46200,89500
349,Computer Graphics Technology (CGT),Bachelors,49000,89200
350,Urban Planning,Bachelors,50500,89200
351,Aviation Technology,Bachelors,58100,89100
352,Environmental Health,Bachelors,50000,89100
353,Agricultural Science,Bachelors,48900,88900
354,Agronomy,Bachelors,50200,88900
355,International Studies,Bachelors,50000,88900
356,Design,Bachelors,52800,88800
357,Applied Science,Bachelors,46400,88700
358,Architectural Engineering Technology,Bachelors,52200,88700
359,German Language,Bachelors,50700,88700
360,Technology,Bachelors,56200,88600
361,Advertising & Promotion,Bachelors,46100,88500
362,Pre-law,Bachelors,46800,88400
363,Digital Media,Bachelors,47300,88200
364,Biological Anthropology,Bachelors,46200,88100
365,Personal Financial Planning,Bachelors,53800,88100
366,Professional Pilot Education,Bachelors,63700,88000
367,Textile Technology,Bachelors,54000,88000
368,Web & Digital Media Development,Bachelors,52300,88000
369,Entrepreneurial Studies,Bachelors,48700,87900
370,Fashion Design,Bachelors,47500,87700
371,Retailing,Bachelors,51300,87600
372,Business Communication,Bachelors,50900,87300
373,Environmental Science,Bachelors,49100,87300
374,Product Design Engineering,Bachelors,65500,87200
375,English Literature,Bachelors,47700,87000
376,Logistics,Bachelors,57600,87000
377,Math & Science,Bachelors,55600,86900
378,International Trade & Business,Bachelors,54800,86800
379,Pre-Medicine,Bachelors,50800,86800
380,Speech & Drama,Bachelors,37500,86800
381,Toxicology,Bachelors,44600,86800
382,Advertising & Marketing,Bachelors,49000,86700
383,Geographic Information Systems (GIS) & Spatial Analysis,Bachelors,54000,86700
384,Marketing & Mass Communications,Bachelors,45400,86700
385,Welding Technology,Bachelors,48400,86700
386,General Business,Bachelors,50200,86600
387,Construction Engineering Technology,Bachelors,55800,86400
388,Architectural Studies,Bachelors,45400,86400
389,Aviation Maintenance Technology,Bachelors,51000,86300
390,Communication Studies & Journalism,Bachelors,44800,86200
391,Management,Bachelors,51600,86200
392,General Science,Bachelors,49100,86100
393,Magazine Journalism,Bachelors,46800,86100
394,Electronics & Computer Technology,Bachelors,55600,86000
395,Theatre & Drama Studies,Bachelors,44800,86000
396,Animation,Bachelors,45000,85900
397,Biology & Chemistry,Bachelors,49200,85900
398,Diagnostic Medical Ultrasound,Bachelors,67700,85900
399,History & Politics,Bachelors,49500,85900
400,Public Affairs,Bachelors,52700,85900
401,Romance Languages,Bachelors,53000,85900
402,Physiology,Bachelors,49300,85900
403,Corporate Communications,Bachelors,48500,85700
404,International Affairs,Bachelors,51600,85700
405,Nursing Science,Bachelors,66800,85700
406,Organizational Development,Bachelors,53800,85700
407,Textile & Apparel Studies,Bachelors,47100,85700
408,Business Administration,Bachelors,52800,85600
409,Business Administration & Accounting,Bachelors,52400,85600
410,Philosophy & Religion,Bachelors,43800,85600
411,Architectural Design,Bachelors,47700,85400
412,Textile Design,Bachelors,50000,85200
413,Interpersonal & Organizational Communication,Bachelors,42400,85200
414,Geographic Information Systems (GIS),Bachelors,50000,85100
415,Business Management,Bachelors,51700,85000
416,Linguistics,Bachelors,52100,84900
417,French Language,Bachelors,49600,84800
418,Communication,Bachelors,48000,84700
419,Neuroscience,Bachelors,51800,84700
420,Business Management & Human Resources Management (HRM),Bachelors,46800,84600
421,Journalism & Mass Communication,Bachelors,46300,84600
422,Accounting & Management,Bachelors,55500,84500
423,Sociology & Organizational Studies,Bachelors,53500,84300
424,Crop Science,Bachelors,48700,84200
425,French Studies,Bachelors,52400,84200
426,Writing,Bachelors,44200,84200
427,Nursing,Bachelors,65000,84200
428,History,Bachelors,47800,84100
429,Biology,Bachelors,47100,84000
430,Land Surveying,Bachelors,51900,84000
431,Architectural Technology,Bachelors,46700,83900
432,Health Care,Bachelors,44400,83900
433,Integrated Marketing Communications,Bachelors,47000,83900
434,Agriculture,Bachelors,47700,83800
435,Digital Design,Bachelors,50000,83600
436,Marketing & Advertising,Bachelors,49300,83600
437,Organizational Communication,Bachelors,46400,83600
438,Visual Effects & Motion Graphics,Bachelors,48100,83400
439,Public Relations & Communication,Bachelors,45700,83300
440,General & Strategic Management,Bachelors,51200,83300
441,Foreign Languages,Bachelors,48400,83100
442,Retail Merchandising,Bachelors,50900,83100
443,Agribusiness Management,Bachelors,47700,83000
444,Global Business,Bachelors,55800,83000
445,Professional & Technical Writing,Bachelors,48500,83000
446,Computer Art,Bachelors,40400,82900
447,Environmental Management,Bachelors,50200,82900
448,Environmental Studies,Bachelors,48500,82900
449,Journalism,Bachelors,45900,82900
450,Travel Industry Management,Bachelors,52600,82900
451,International Development Studies,Bachelors,47700,82800
